# Time-averaged data for fix 4
# TimeStep c_3[1] c_3[2] c_3[3] c_3[4]
1322 -0.364528 -0.129875 -0.144214 -0.638616
1324 -0.346813 -0.136076 -0.134353 -0.617242
1326 -0.328032 -0.141668 -0.124159 -0.593859
1328 -0.3083 -0.146627 -0.113756 -0.568683
1330 -0.287731 -0.150936 -0.103261 -0.541928
1332 -0.266434 -0.154582 -0.0927959 -0.513812
1334 -0.244517 -0.157561 -0.082466 -0.484544
1336 -0.222093 -0.159874 -0.0723745 -0.454342
1338 -0.199274 -0.161529 -0.0626174 -0.423421
1340 -0.17618 -0.16254 -0.0532793 -0.391999
1342 -0.152931 -0.162929 -0.0444347 -0.360295
1344 -0.129656 -0.162721 -0.0361437 -0.328521
1346 -0.10649 -0.161947 -0.0284532 -0.296891
1348 -0.0835744 -0.16064 -0.0213994 -0.265613
1350 -0.0610476 -0.158833 -0.0150031 -0.234883
1352 -0.0390476 -0.156564 -0.00927082 -0.204882
1354 -0.0177038 -0.153866 -0.00419357 -0.175763
1356 0.00285836 -0.150767 0.000251686 -0.147657
1358 0.02253 -0.147298 0.00410517 -0.120663
1360 0.0412194 -0.143487 0.00741632 -0.0948513
1362 0.0588542 -0.139362 0.0102493 -0.0702587
1364 0.0753875 -0.134951 0.0126805 -0.0468833
1366 0.0907986 -0.130278 0.014792 -0.0246876
1368 0.105087 -0.125371 0.0166727 -0.00361119
1370 0.118279 -0.120258 0.0184116 0.0164317
1372 0.130421 -0.114973 0.0200949 0.0355436
1374 0.141577 -0.109546 0.0217996 0.0538306
1376 0.15182 -0.104014 0.0235936 0.0713996
1378 0.161234 -0.0984092 0.0255319 0.088357
1380 0.169905 -0.0927649 0.0276509 0.104791
1382 0.177916 -0.0871138 0.0299669 0.120769
1384 0.185343 -0.0814898 0.032483 0.136336
1386 0.192254 -0.0759211 0.0351853 0.151518
1388 0.198703 -0.0704341 0.0380479 0.166317
1390 0.204734 -0.0650559 0.0410357 0.180713
1392 0.210368 -0.0598148 0.0441034 0.194656
1394 0.215616 -0.0547393 0.0472053 0.208082
1396 0.220473 -0.0498566 0.0502932 0.22091
1398 0.224925 -0.0451948 0.053326 0.233056
1400 0.228941 -0.0407868 0.0562645 0.244419
1402 0.232486 -0.0366659 0.0590769 0.254897
1404 0.235515 -0.0328676 0.0617413 0.264388
1406 0.237975 -0.0294263 0.064239 0.272788
1408 0.239815 -0.0263764 0.0665624 0.280001
1410 0.240977 -0.0237577 0.0687151 0.285935
1412 0.2414 -0.0216082 0.0707065 0.290498
1414 0.241021 -0.0199647 0.0725509 0.293607
1416 0.239776 -0.018865 0.0742705 0.295181
1418 0.237608 -0.0183393 0.0758933 0.295162
1420 0.23446 -0.0184139 0.0774523 0.293498
1422 0.23028 -0.0191133 0.0789852 0.290152
1424 0.225024 -0.0204498 0.0805366 0.285111
1426 0.218663 -0.022429 0.082153 0.278387
1428 0.211183 -0.0250495 0.0838848 0.270018
1430 0.202578 -0.0282959 0.0857827 0.260065
1432 0.192859 -0.0321401 0.0878917 0.248611
1434 0.182057 -0.0365465 0.0902569 0.235767
1436 0.170217 -0.0414702 0.0929167 0.221663
1438 0.157396 -0.0468585 0.0958975 0.206435
1440 0.143675 -0.0526547 0.0992223 0.190243
1442 0.129156 -0.0587997 0.102898 0.173254
1444 0.113956 -0.0652324 0.106918 0.155642
1446 0.098213 -0.0718909 0.111264 0.137586
1448 0.0820792 -0.0787228 0.115902 0.119259
1450 0.0657227 -0.0856751 0.120785 0.100833
1452 0.0493229 -0.0927052 0.125853 0.0824705
1454 0.0330695 -0.0997791 0.131029 0.0643196
1456 0.0171544 -0.106867 0.13623 0.0465177
1458 0.00177115 -0.113943 0.141362 0.0291897
1460 -0.0128937 -0.12099 0.146322 0.0124387
1462 -0.0266643 -0.12799 0.151003 -0.00365138
1464 -0.0393841 -0.134926 0.155293 -0.019017
1466 -0.0509171 -0.141772 0.159082 -0.0336064
